tari,mortalitate,nuptialitate,natalitate,sporNatural,divortialitate
Alba,4020,1749,2468,-1552,346
Arad,5495,2846,3397,-2098,1012
Arges,7276,3062,3913,-3363,765
Bacau,8164,3569,4851,-3313,815
Bihor,6891,3198,5162,-1729,776
Bistrita-Nasaud,2958,1666,2781,-177,261
Botosani,5335,2231,3314,-2021,440
Brasov,6266,3143,5003,-2816,865
Braila,4566,1382,1750,-1263,444
Buzau,6196,2668,2735,-3461,385
Caras-Severin,3445,1258,1606,-1949,273
Calarasi,4180,1433,2231,-1839,411
Cluj,7847,3970,6133,-1714,624
Constanta,8214,3948,5414,-2800,776
Covasna,2469,1030,1695,-774,176
Dambovita,6039,2565,3581,-2458,612
Dolj,8698,3307,4617,-4081,456
Galati,6797,3297,3738,-3059,576
Giurgiu,3733,1607,1906,-1827,197
Gorj,3865,1868,2152,-1713,494
Harghita,3507,1293,2717,-790,291
Hunedoara,5449,2072,2224,-3225,577
Ialomita,3721,1269,2120,-1601,297
Iasi,8590,5316,7622,-968,1010
Ilfov,4203,3553,4250,47,749
Maramures,5301,2400,3599,-1702,473
Mehedinti,3340,1386,1668,-1672,246
Mures,6679,2785,4667,-2012,550
Neamt,6561,2587,3441,-3120,514
Olt,5735,1966,2595,-3140,368
Prahova,9888,3691,4901,-4987,734
Satu Mare,4051,1815,2670,-7248,381
Salaj,2753,1196,2156,-597,249
Sibiu,4389,2125,3532,-1381,398
Suceava,7409,4313,7385,-857,945
Teleorman,5386,1374,1944,-24,411
Timis,7155,4234,5619,-3442,947
Tulcea,2860,934,1298,-1536,205
Vaslui,5071,2308,3138,-1562,478
Valcea,2984,852,2043,-941,125
Vrancea,4362,1713,2534,-1933,252
Municipiul Bucuresti,21544,12143,14848,-1828,1811
