tari,C1,C2,C3,C4,C5
Alba,0.9280705279556127,0.06360625375151943,0.00562368072369665,0.000285586975527533,0.00241395059364366
Arad,0.19554261055961802,0.0030981750140137224,0.7499242261884111,0.050563864072939155,0.0008711241650178683
Arges,0.4252413292656498,0.46096624553901655,0.07537168976875923,0.03734803775056324,0.0010726976760110903
Bacau,0.7402166471499894,0.2261101747762396,0.020371171037475422,0.009503372380688333,0.003798634655607307
Bihor,0.765484144863427,0.12693185840191595,0.06751963401336582,0.0014879100706337287,0.03857645265065754
Bistrita-Nasaud,0.5493725745337175,0.4235570745822124,0.010460238800903921,0.01559600158083169,0.0010141105023343479
Botosani,0.9044394960604656,0.001201597631680681,0.08646899610837645,0.0006834457353038082,0.007206464464173504
Brasov,0.6262636950779628,0.07925012667205208,0.2614599563439243,0.016857409489893213,0.0161688124161676
Braila,0.7646704394660315,0.11467149045472722,0.015101687183528178,0.10450718457388332,0.0010491983218296654
Buzau,0.05385619460403518,0.8016640568833202,0.09688079806210746,0.011037815137847143,0.03656113531269006
Caras-Severin,0.9922708724875231,0.001309163105395259,0.0020501395736136174,0.0014125439353933128,0.002957280898074575
Calarasi,0.9706276213768034,0.0038631515227823122,0.010168973049483368,0.011944892577480812,0.003395361473449999
Cluj,0.7870047652676059,0.0923659261174875,0.07577806495281925,0.03913092403794656,0.005720319624140934
Constanta,0.9468333000044615,0.05214198079052069,0.00030981764467898087,5.592276945985607e-06,0.0007093092833927913
Covasna,0.8630240804420107,0.125546269006549,0.008215751783965655,0.002138694020810271,0.0010752047466643857
Dambovita,0.12561960189210888,0.5134068505748912,0.24994797964425478,0.09052209532916052,0.020503472559584523
Dolj,0.22162853830556276,0.6067656546741466,0.1677114699719492,0.0003396962019652618,0.003554640846376206
Galati,0.30647923276099737,0.620342799523906,0.01291167583580888,0.00858499925627144,0.05168129262301617
Giurgiu,0.9306013560265655,0.0006731901884417408,0.05579904741391262,0.000451393642997,0.012475012728083296
Gorj,0.8237995083473247,0.034792276765175656,0.10867568662173463,0.012652013576089092,0.020080514689675776
Harghita,0.7261880983788641,0.2523308215246952,0.008355550918099582,0.005851617315696906,0.007273911862644263
Hunedoara,0.1282735141989394,0.6812961699286914,0.09895567151971987,0.08692351962260263,0.004551124730046735
Ialomita,0.9722156362949791,0.022001346823601664,0.004671323761150904,0.00015200825836168822,0.0009596848619066626
Iasi,0.818610727075111,0.1607929108780459,0.00735855506214754,0.013232412906534522,5.394078161279759e-06
Ilfov,0.021619783813201312,0.8206035589850792,0.10796051809319245,0.012481284610126988,0.03733485449840006
Maramures,0.5102588873678738,0.42235439809904735,0.04127315611843877,0.021162448897176014,0.004951109517463716
Mehedinti,0.9759303242194847,0.0076662186608774515,0.008459113630132879,0.00014269346943941776,0.007801650020065392
Mures,0.5881591139589845,0.048675233372452165,0.14930130329036256,0.03390879694524422,0.17995555243295655
Neamt,0.011227580928074892,0.9343936350675733,0.029352704982705986,0.023975249378116164,0.0010508296435296118
Olt,0.31490048500597895,0.6054600110695858,0.06262738663904836,0.01678731074620963,0.00022480653917717256
Prahova,0.4088390004673083,0.5699153317677388,0.006659409881488796,0.010451215949238394,0.004135041934225832
Satu Mare,0.023292138989020654,0.9487125770991808,0.0015291616114784597,0.025862575724919117,0.0006035465754009789
Salaj,0.7707885511555144,0.22277677765522427,0.0026839099156390207,0.003742948538325379,7.812735296929703e-06
Sibiu,0.5900749731610413,0.3186834193013988,0.019570683175939248,0.06977419570251599,0.0018967286591046256
Suceava,0.6837403243758648,0.24448352095871223,0.022595001479319872,0.03704693810247106,0.012134215083632013
Teleorman,0.3686334945382575,0.5014521959322327,0.0028921406865664886,0.11931885484473775,0.007703313998205554
Timis,0.7574342632360193,0.13171460271935875,0.09291512352649291,0.015521147546785985,0.0024148629713431377
Tulcea,0.9838053723786766,0.010526781102607572,0.003768776924997146,0.0005706036813827445,0.0013284659123358675
Vaslui,0.6291201585599713,0.3586903644931005,2.831424291119579e-07,0.00753079271569179,0.0046584010888074765
Valcea,0.8642861494021921,0.09199258148967678,0.0373655610417484,0.0038724681542260755,0.002483239912156717
Vrancea,0.9038281699733378,1.6819734065573166e-06,0.09274459125622149,0.0029318206473288983,0.0004937361497052658
Municipiul Bucuresti,0.9790526905251143,0.013758783384270204,0.006264996245953292,0.00043382095907245396,0.0004897088855897224
